Date,Open,High,Low,Close,Adj Close,Volume
5/14/2007,15.05,15.05,15.05,15.05,12.223889,0
5/15/2007,15.55,15.55,15.55,15.55,12.63,400
5/16/2007,16,16,16,16,12.995497,300
5/17/2007,16,16,16,16,12.995497,100
5/18/2007,15.8,15.9,15.75,15.8,12.833054,1300
5/21/2007,16,16,15.95,16,12.995497,1200
5/22/2007,16,16,16,16,12.995497,0
5/23/2007,15.9,15.9,15.45,15.9,12.914277,1500
5/24/2007,15.5,15.5,15.5,15.5,12.589389,400
5/25/2007,15.4,15.7,15.4,15.4,12.508165,700
5/29/2007,15.35,15.65,15.35,15.35,12.467557,4400
5/30/2007,15.05,15.05,15.05,15.05,12.223889,400
5/31/2007,15.05,15.05,15.05,15.05,12.223889,0
6/1/2007,15.6,15.8,15.4,15.6,12.670611,3600
6/4/2007,15.6,15.6,15.1,15.6,12.670611,3500
6/5/2007,15.05,15.05,15.05,15.05,12.223889,700
6/6/2007,15.15,15.15,14.8,15.15,12.305112,6100
6/7/2007,14.8,15.1,14.8,14.8,12.020837,500
6/8/2007,14.9,14.9,14.5,14.9,12.102057,3200
6/11/2007,14.7,14.7,14.7,14.7,11.939614,100
6/12/2007,14.7,14.7,14.7,14.7,11.939614,0
6/13/2007,14.7,14.7,14.7,14.7,11.939614,0
6/14/2007,14.95,14.95,14.95,14.95,12.14267,1000
6/15/2007,15.05,15.05,15.05,15.05,12.223889,100
6/18/2007,14.85,14.85,14.85,14.85,12.061446,4000
6/19/2007,15,15,15,15,12.183279,1400
6/20/2007,14.85,14.85,14.85,14.85,12.061446,100
6/21/2007,15.65,15.65,15.5,15.65,12.711222,5000
6/22/2007,15.51,15.8,15.45,15.51,12.597512,1100
6/25/2007,15.45,15.45,15.1,15.45,12.548778,500
6/26/2007,15.6,15.6,15.3,15.6,12.670611,1700
6/27/2007,15.45,15.45,15.45,15.45,12.548778,300
6/28/2007,15.2,15.6,15.2,15.2,12.345724,1500
6/29/2007,15.5,15.5,15.1,15.5,12.589389,2600
7/2/2007,15.65,15.65,15.5,15.65,12.711222,11200
7/3/2007,15.7,15.7,15.7,15.7,12.751833,1600
7/5/2007,15.6,15.6,15.6,15.6,12.670611,300
7/6/2007,15.6,15.6,15.6,15.6,12.670611,1500
7/9/2007,15.65,15.65,15.65,15.65,12.711222,4900
7/10/2007,15.3,15.3,15.3,15.3,12.426944,200
7/11/2007,15.5,15.5,15.5,15.5,12.589389,1100
7/12/2007,15.5,15.55,15.05,15.5,12.589389,6200
7/13/2007,15.5,15.5,15.5,15.5,12.589389,400
7/16/2007,15.25,15.4,15.05,15.25,12.386335,2800
7/17/2007,15.1,15.1,15.1,15.1,12.264503,600
7/18/2007,15.1,15.1,15.1,15.1,12.264503,0
7/19/2007,15,15.1,15,15,12.183279,1600
7/20/2007,15.35,15.8,15.35,15.35,12.467557,2300
7/23/2007,15.75,15.85,15.5,15.75,12.792444,2100
7/24/2007,15.55,16,15.55,15.55,12.63,1400
7/25/2007,18.5,18.75,18.450001,18.5,15.026045,2700
7/26/2007,17.799999,18.34,17.799999,17.799999,14.457492,24600
7/27/2007,17.6,17.6,17.6,17.6,14.29505,6900
7/30/2007,18.15,18.15,18.15,18.15,14.741767,400
7/31/2007,18.200001,18.25,18,18.200001,14.782379,1200
8/1/2007,18.200001,18.200001,18.200001,18.200001,14.782379,0
8/2/2007,18.200001,18.200001,18.200001,18.200001,14.782379,0
8/3/2007,16.75,16.75,16.75,16.75,13.60466,700
8/6/2007,15.85,16,15.6,15.85,12.873665,3400
8/7/2007,15.85,15.85,15.7,15.85,12.873665,2700
8/8/2007,16.25,16.25,16.25,16.25,13.198552,200
8/9/2007,16.049999,16.25,16.049999,16.049999,13.036111,3400
8/10/2007,15.8,16.15,15.8,15.8,12.833054,1700
8/13/2007,16.1,16.1,16.1,16.1,13.076722,200
8/14/2007,17.35,17.35,16.799999,17.35,14.091993,3200
8/15/2007,16.1,16.1,16.1,16.1,13.076722,100
8/16/2007,14.95,14.95,14.75,14.95,12.14267,700
8/17/2007,14.8,14.8,14.4,14.8,12.020837,4700
8/20/2007,16.049999,16.049999,15.65,16.049999,13.036111,1400
8/21/2007,16.65,16.65,16.65,16.65,13.523441,300
8/22/2007,17.25,17.25,16.799999,17.25,14.010774,600
8/23/2007,17.700001,17.700001,17.700001,17.700001,14.37627,200
8/24/2007,18.4,18.85,18.4,18.4,14.944824,1400
8/27/2007,21.65,21.75,21.65,21.65,17.584532,6200
8/28/2007,22.1,22.5,22,22.1,17.950033,4800
8/29/2007,23.9,23.9,23.15,23.9,19.412025,4100
8/30/2007,23.799999,23.85,23.1,23.799999,19.330801,3100
8/31/2007,24.700001,24.9,24.65,24.700001,20.0618,2700
9/4/2007,24.5,24.799999,22.950001,24.5,19.899357,42700
9/5/2007,23.35,23.450001,23.200001,23.35,18.965305,13100
