Date,Open,High,Low,Close,Adj Close,Volume
11/18/1996,7.5,7.5,7.5,7.5,4.492228,1000
11/19/1996,7.75,7.75,7.375,7.75,4.641969,7700
11/20/1996,7.75,7.75,7.75,7.75,4.641969,0
11/21/1996,7.546875,7.75,7.5,7.546875,4.520305,13600
11/22/1996,7.75,7.75,7.5,7.75,4.641969,1900
11/25/1996,7.703125,7.796875,7.703125,7.703125,4.613893,13000
11/26/1996,8.25,8.375,8,8.25,4.941451,3200
11/27/1996,8.5,8.5,8.296875,8.5,5.091191,1200
11/29/1996,8.375,8.375,8.375,8.375,5.01632,500
12/2/1996,8.375,8.375,8.375,8.375,5.01632,2900
12/3/1996,8,8.25,8,8,4.791711,2700
12/4/1996,7.875,8.125,7.875,7.875,4.716837,1300
12/5/1996,8.25,8.25,8.25,8.25,4.941451,300
12/6/1996,7.875,7.875,7.375,7.875,4.716837,8900
12/9/1996,7.875,8,7.59375,7.875,4.716837,73600
12/10/1996,8,8,8,8,4.791711,4300
12/11/1996,7.25,7.625,7.25,7.25,4.342488,8300
12/12/1996,7.5,7.875,7.5,7.5,4.492228,7000
12/13/1996,7.5,7.75,7.453125,7.5,4.492228,800
12/16/1996,8,8,7.75,8,4.791711,2100
12/17/1996,7.5,7.75,7.5,7.5,4.492228,4700
12/18/1996,7.5,7.5,7.5,7.5,4.492228,2200
12/19/1996,7.625,7.875,7.546875,7.625,4.5671,4800
12/20/1996,7.75,8,7.75,7.75,4.641969,12700
12/23/1996,7.75,7.75,7.75,7.75,4.641969,0
12/24/1996,7.75,7.75,7.75,7.75,4.641969,2000
12/26/1996,8,8,7.75,8,4.791711,3300
12/27/1996,7.625,7.875,7.625,7.625,4.5671,6200
12/30/1996,7.875,7.90625,7.625,7.875,4.716837,2300
12/31/1996,7.953125,8,7.75,7.953125,4.763634,4700
1/2/1997,7.703125,7.703125,7.625,7.703125,4.613893,600
1/3/1997,7.59375,7.875,7.59375,7.59375,4.548382,6900
1/6/1997,7.59375,7.59375,7.59375,7.59375,4.548382,0
1/7/1997,7.875,7.875,7.625,7.875,4.716837,1100
1/8/1997,7.75,7.75,7.5,7.75,4.641969,10700
1/9/1997,7.5,7.75,7.40625,7.5,4.492228,5100
1/10/1997,7.5,7.5,7.5,7.5,4.492228,0
1/13/1997,7.5,7.5,7.5,7.5,4.492228,0
1/14/1997,7.5,7.625,7.5,7.5,4.492228,4400
1/15/1997,7.625,7.625,7.5,7.625,4.5671,1200
1/16/1997,7.875,7.875,7.625,7.875,4.716837,3700
1/17/1997,7.625,7.75,7.59375,7.625,4.5671,13000
1/20/1997,7.625,7.625,7.5,7.625,4.5671,14700
1/21/1997,7.75,7.75,7.75,7.75,4.641969,800
1/22/1997,7.5,7.515625,7.5,7.5,4.492228,6000
1/23/1997,7.75,7.75,7.625,7.75,4.641969,3600
1/24/1997,7.375,7.5,7.375,7.375,4.417358,3400
1/27/1997,7.375,7.625,7.375,7.375,4.417358,4300
1/28/1997,7.59375,7.625,7.59375,7.59375,4.548382,5500
1/29/1997,7.375,7.375,7.375,7.375,4.417358,100
1/30/1997,7.625,7.625,7.625,7.625,4.5671,2300
1/31/1997,7.625,7.625,7.625,7.625,4.5671,0
2/3/1997,7.75,7.75,7.75,7.75,4.641969,1500
2/4/1997,7.59375,7.75,7.5,7.59375,4.548382,11300
2/5/1997,7.75,7.75,7.75,7.75,4.641969,400
2/6/1997,7.5,7.875,7.5,7.5,4.492228,1600
2/7/1997,7.5,7.875,7.5,7.5,4.492228,8300
2/10/1997,7.5,7.5,7.5,7.5,4.492228,0
2/11/1997,7.59375,7.75,7.5,7.59375,4.548382,41500
2/12/1997,7.875,7.875,7.625,7.875,4.716837,25500
2/13/1997,7.5,7.5,7.5,7.5,4.492228,5400
2/14/1997,7.75,7.75,7.75,7.75,4.641969,200
2/18/1997,7.5,7.5,7.5,7.5,4.492228,4600
2/19/1997,7.625,7.875,7.375,7.625,4.5671,4200
2/20/1997,7.84375,7.84375,7.796875,7.84375,4.698121,3100
2/21/1997,7.75,7.75,7.75,7.75,4.641969,1400
2/24/1997,7.640625,7.875,7.640625,7.640625,4.576457,3900
2/25/1997,7.84375,7.84375,7.625,7.84375,4.698121,10500
2/26/1997,7.75,7.75,7.75,7.75,4.641969,1800
2/27/1997,7.75,7.875,7.75,7.75,4.641969,2300
2/28/1997,7.75,7.75,7.75,7.75,4.641969,0
3/3/1997,7.75,7.75,7.75,7.75,4.641969,4000
3/4/1997,7.5,7.75,7.5,7.5,4.492228,1400
3/5/1997,7.71875,7.75,7.5,7.71875,4.62325,2800
3/6/1997,7.5,7.5,7.5,7.5,4.492228,6100
3/7/1997,7.5,7.5,7.5,7.5,4.492228,0
3/10/1997,7.875,7.875,7.546875,7.875,4.716837,2900
3/11/1997,7.875,7.875,7.75,7.875,4.716837,12000
3/12/1997,7.75,7.84375,7.59375,7.75,4.641969,3000
3/13/1997,7.5,7.75,7.5,7.5,4.492228,1600
3/14/1997,7.75,7.75,7.75,7.75,4.641969,1800
3/17/1997,7.5,7.5,7.5,7.5,4.492228,300
3/18/1997,7.5,7.75,7.5,7.5,4.492228,2600
3/19/1997,7.5,7.75,7.5,7.5,4.492228,6600
3/20/1997,7.625,7.625,7.375,7.625,4.5671,700
3/21/1997,7.75,7.75,7.6875,7.75,4.641969,3200
3/24/1997,7.59375,7.59375,7.34375,7.59375,4.548382,6400
3/25/1997,7.546875,7.59375,7.5,7.546875,4.520305,4600
3/26/1997,7.75,7.875,7.75,7.75,4.641969,9200
3/27/1997,7.625,7.625,7.625,7.625,4.5671,100
3/31/1997,7.625,7.625,7.625,7.625,4.5671,0
4/1/1997,7.25,7.25,7.25,7.25,4.342488,1000
4/2/1997,7.25,7.25,7.25,7.25,4.342488,0
4/3/1997,7.484375,7.484375,7.484375,7.484375,4.482869,5000
4/4/1997,7.390625,7.390625,7.375,7.390625,4.426717,1800
4/7/1997,7.5,7.75,7.375,7.5,4.492228,26500
4/8/1997,7.796875,8.25,7.5,7.796875,4.670045,13100
4/9/1997,7.625,7.796875,7.625,7.625,4.5671,1700
4/10/1997,7.875,7.875,7.875,7.875,4.716837,1400
4/11/1997,7.875,7.875,7.875,7.875,4.716837,0
4/14/1997,7.75,7.75,7.75,7.75,4.641969,500
4/15/1997,7.625,7.625,7.625,7.625,4.5671,1200
4/16/1997,7.5,7.5,7.5,7.5,4.492228,500
4/17/1997,7.5,7.75,7.5,7.5,4.492228,6100
4/18/1997,7.5,7.5,7.5,7.5,4.492228,1000
4/21/1997,7.609375,7.609375,7.609375,7.609375,4.55774,500
4/22/1997,7.609375,7.609375,7.609375,7.609375,4.55774,0
4/23/1997,7.75,7.75,7.5,7.75,4.641969,1600
4/24/1997,7.5,7.75,7.5,7.5,4.492228,600
4/25/1997,7.5,7.75,7.5,7.5,4.492228,2900
4/28/1997,7.546875,7.546875,7.546875,7.546875,4.520305,600
4/29/1997,7.546875,7.546875,7.546875,7.546875,4.520305,0
4/30/1997,7.875,7.875,7.875,7.875,4.716837,17000
5/1/1997,7.875,7.875,7.875,7.875,4.716837,0
5/2/1997,7.625,7.625,7.59375,7.625,4.5671,8900
5/5/1997,7.34375,7.34375,7.34375,7.34375,4.398639,100
5/6/1997,7.34375,7.34375,7.34375,7.34375,4.398639,0
5/7/1997,7.5,7.5,7.5,7.5,4.492228,600
5/8/1997,7.75,7.75,7.75,7.75,4.641969,900
5/9/1997,7.625,7.625,7.625,7.625,4.5671,4300
5/12/1997,7.6875,7.75,7.5,7.6875,4.604533,16700
5/13/1997,7.59375,7.796875,7.59375,7.59375,4.548382,5200
5/14/1997,7.59375,7.59375,7.59375,7.59375,4.548382,0
5/15/1997,7.390625,7.5,7.390625,7.390625,4.426717,6400
5/16/1997,7.625,7.875,7.625,7.625,4.5671,1000
5/19/1997,7.625,7.625,7.625,7.625,4.5671,0
5/20/1997,7.75,7.75,7.75,7.75,4.641969,2000
5/21/1997,7.5,7.75,7.5,7.5,4.492228,1200
5/22/1997,7.5,7.640625,7.5,7.5,4.492228,2900
5/23/1997,7.5,7.75,7.5,7.5,4.492228,600
5/27/1997,7.5,7.5,7.5,7.5,4.492228,0
5/28/1997,7.390625,7.390625,7.390625,7.390625,4.426717,3000
5/29/1997,7.546875,7.59375,7.375,7.546875,4.520305,1700
5/30/1997,7.375,7.625,7.375,7.375,4.417358,1100
6/2/1997,7.625,7.625,7.625,7.625,4.5671,300
6/3/1997,7.59375,7.59375,7.375,7.59375,4.548382,700
