Date,Open,High,Low,Close,Adj Close,Volume
1/2/1962,4.691347,4.769536,4.644433,4.675709,0.785728,345317
1/3/1962,4.652252,4.652252,4.613158,4.628796,0.777844,236606
1/4/1962,4.628796,4.66789,4.534969,4.574063,0.768647,294159
1/5/1962,4.574063,4.581882,4.37859,4.45678,0.748937,436442
1/8/1962,4.45678,4.45678,4.316039,4.448961,0.747624,495593
1/9/1962,4.448961,4.511512,4.417685,4.472417,0.751566,372494
1/10/1962,4.472417,4.519331,4.45678,4.495874,0.755507,313343
1/11/1962,4.495874,4.503693,4.417685,4.503693,0.756821,260586
1/12/1962,4.503693,4.511512,4.425504,4.441142,0.74631,270178
1/15/1962,4.448961,4.503693,4.448961,4.488055,0.754193,338922
1/16/1962,4.488055,4.542788,4.45678,4.52715,0.760763,222218
1/17/1962,4.519331,4.519331,4.394228,4.425504,0.743682,342119
1/18/1962,4.425504,4.472417,4.417685,4.472417,0.751566,236606
1/19/1962,4.472417,4.511512,4.472417,4.511512,0.758135,212626
1/22/1962,4.519331,4.581882,4.519331,4.52715,0.760763,227014
1/23/1962,4.511512,4.511512,4.425504,4.441142,0.74631,364501
1/24/1962,4.441142,4.542788,4.425504,4.52715,0.760763,255790
1/25/1962,4.52715,4.558425,4.448961,4.480236,0.752879,254191
1/26/1962,4.480236,4.488055,4.448961,4.464598,0.750251,161467
1/29/1962,4.464598,4.488055,4.45678,4.472417,0.751566,163066
1/30/1962,4.52715,4.59752,4.52715,4.550606,0.764704,284566
1/31/1962,4.550606,4.691347,4.542788,4.691347,0.788355,300553
2/1/1962,4.691347,4.714804,4.613158,4.660071,0.783099,410863
2/2/1962,4.660071,4.683528,4.628796,4.683528,0.787041,236606
2/5/1962,4.675709,4.675709,4.59752,4.59752,0.772589,225415
2/6/1962,4.613158,4.660071,4.613158,4.644433,0.780472,166264
2/7/1962,4.644433,4.691347,4.628796,4.691347,0.788355,270178
2/8/1962,4.691347,4.722623,4.683528,4.722623,0.793611,281369
2/9/1962,4.722623,4.722623,4.636615,4.699166,0.789669,241402
2/12/1962,4.699166,4.714804,4.675709,4.699166,0.789669,131092
2/13/1962,4.706985,4.753898,4.706985,4.753898,0.798866,193441
2/14/1962,4.753898,4.808631,4.746079,4.792993,0.805437,258987
2/15/1962,4.800812,4.879001,4.800812,4.863363,0.817261,298955
2/16/1962,4.863363,4.871182,4.792993,4.832087,0.812005,374093
2/19/1962,4.832087,4.855544,4.769536,4.792993,0.805437,249395
2/20/1962,4.792993,4.792993,4.722623,4.785174,0.804122,171060
2/21/1962,4.785174,4.808631,4.73826,4.769536,0.801494,172658
2/23/1962,4.769536,4.777355,4.714804,4.722623,0.793611,260586
2/26/1962,4.722623,4.73826,4.620977,4.660071,0.783099,201435
2/27/1962,4.660071,4.691347,4.652252,4.691347,0.788355,148678
2/28/1962,4.691347,4.706985,4.652252,4.66789,0.784413,265382
3/1/1962,4.691347,4.753898,4.691347,4.753898,0.798866,145481
3/2/1962,4.761717,4.816449,4.761717,4.785174,0.804122,201435
3/5/1962,4.792993,4.832087,4.792993,4.792993,0.805437,222218
3/6/1962,4.792993,4.800812,4.706985,4.722623,0.793611,150277
3/7/1962,4.722623,4.777355,4.722623,4.753898,0.798866,161467
3/8/1962,4.753898,4.839906,4.73826,4.824268,0.810692,282968
