Date,Open,High,Low,Close,Adj Close,Volume
4/28/2006,12.9,13.98,12.87,13.812,13.812,23432000
5/1/2006,13.92,14.179,13.75,13.87,13.87,14835000
5/2/2006,14.245,14.4,14.1,14.365,14.365,12511000
5/3/2006,14.45,14.464,13.413,13.925,13.925,15141000
5/4/2006,13.95,14.287,13.68,14,14,11075000
5/5/2006,14,14.03,13.75,13.995,13.995,6586000
5/8/2006,13.8,14,13.506,14,14,9453000
5/9/2006,14.098,14.625,14.06,14.5,14.5,11054000
5/10/2006,14.29,14.575,14.25,14.526,14.526,13913000
5/11/2006,15.082,15.25,14.8,14.86,14.86,12533000
5/12/2006,14.89,14.9,14.217,14.464,14.464,10129000
5/15/2006,13.394,13.78,13.204,13.27,13.27,12581000
5/16/2006,13.51,13.675,13.275,13.58,13.58,7200000
5/17/2006,13.555,13.748,12.921,13.09,13.09,7821000
5/18/2006,13.22,13.365,12.602,12.602,12.602,8020000
5/19/2006,12.291,12.683,12.168,12.6,12.6,8460000
5/22/2006,12.398,12.6,12.254,12.515,12.515,5949000
5/23/2006,12.985,13.252,12.89,13.045,13.045,8188000
5/24/2006,12.698,12.895,12.423,12.545,12.545,5349000
5/25/2006,12.555,12.79,12.439,12.685,12.685,4998000
5/26/2006,12.769,12.777,12.49,12.67,12.67,3477000
5/30/2006,13.2,13.36,13.028,13.097,13.097,6204000
5/31/2006,13.065,13.13,12.366,12.628,12.628,6342000
6/1/2006,11.825,12.256,11.81,12.04,12.04,8007000
6/2/2006,12.19,12.311,12.003,12.175,12.175,3807000
6/5/2006,12.28,12.38,12.076,12.092,12.092,4317000
6/6/2006,11.868,11.948,11.68,11.835,11.835,6764000
6/7/2006,11.595,12.043,11.53,11.87,11.87,6712000
6/8/2006,11.688,11.7,11.134,11.235,11.235,6754000
6/9/2006,11.5,11.55,11.103,11.192,11.192,4204000
6/12/2006,11.26,11.323,10.916,10.93,10.93,5380000
6/13/2006,10.373,10.45,9.563,9.625,9.625,20708000
6/14/2006,9.88,9.987,9.549,9.67,9.67,9620000
6/15/2006,10.14,10.351,10.025,10.264,10.264,8796000
6/16/2006,10.167,10.337,9.859,10.29,10.29,4103000
6/19/2006,10.002,10.092,9.915,9.947,9.947,3696000
6/20/2006,10.06,10.35,9.969,10.286,10.286,2978000
6/21/2006,10.264,10.626,10.246,10.5,10.5,3908000
6/22/2006,10.4,10.489,10.245,10.257,10.257,2434000
6/23/2006,10.205,10.475,10.187,10.353,10.353,5332000
6/26/2006,10.42,10.445,10.132,10.317,10.317,2010000
6/27/2006,10.499,10.688,10.214,10.214,10.214,5217000
6/28/2006,10.385,10.387,10.185,10.245,10.245,2816000
6/29/2006,10.409,10.8,10.409,10.782,10.782,6410000
6/30/2006,11.007,11.155,10.934,11.139,11.139,7536000
7/3/2006,11.319,11.468,11.27,11.38,11.38,2103000
7/5/2006,11.498,11.525,11.249,11.47,11.47,3619000
7/6/2006,11.42,11.675,11.325,11.599,11.599,3919000
7/7/2006,11.5,11.51,11.3,11.325,11.325,3436000
7/10/2006,11.157,11.258,11.051,11.084,11.084,2749000
7/11/2006,11.315,11.62,11.289,11.57,11.57,2908000
7/12/2006,11.73,11.83,11.375,11.592,11.592,5695000
7/13/2006,11.659,11.66,11.361,11.65,11.65,4515000
7/14/2006,11.652,11.71,11.474,11.499,11.499,2867000
7/17/2006,11.258,11.3,10.856,10.897,10.897,6461000
7/18/2006,11.069,11.078,10.47,10.595,10.595,4719000
7/19/2006,10.683,11.171,10.658,11.139,11.139,2368000
7/20/2006,11.001,11.29,10.891,10.9,10.9,2429000
7/21/2006,11.244,11.244,10.717,10.838,10.838,2633000
7/24/2006,10.803,10.92,10.63,10.918,10.918,3195000
7/25/2006,10.972,11,10.78,10.993,10.993,2733000
7/26/2006,10.944,11.178,10.865,11.107,11.107,2060000
7/27/2006,11.456,11.489,11.269,11.375,11.375,2943000
7/28/2006,11.35,11.425,11.301,11.4,11.4,1826000
7/31/2006,11.415,11.456,11.243,11.415,11.415,2537000
8/1/2006,11.414,11.766,11.4,11.76,11.76,2751000
8/2/2006,11.899,12.253,11.899,12.17,12.17,4575000
8/3/2006,12.115,12.225,11.995,12.08,12.08,2456000
8/4/2006,12.482,12.58,12.291,12.383,12.383,3716000
8/7/2006,12.475,12.475,12.164,12.31,12.31,3070000
8/8/2006,12.227,12.359,12.2,12.26,12.26,1655000
8/9/2006,12.43,12.65,12.43,12.518,12.518,3686000
8/10/2006,12.327,12.397,12.06,12.121,12.121,3909000
8/11/2006,12.266,12.372,11.776,11.919,11.919,4086000
8/14/2006,11.911,12.225,11.839,12.048,12.048,3472000
8/15/2006,12.015,12.127,11.95,12.105,12.105,1557000
8/16/2006,12.329,12.43,12.25,12.324,12.324,2334000
8/17/2006,12.205,12.205,11.905,11.967,11.967,2984000
8/18/2006,12.085,12.121,11.85,12.06,12.06,2293000
8/21/2006,12.371,12.442,12.321,12.412,12.412,2415000
8/22/2006,12.176,12.32,12.101,12.295,12.295,2165000
8/23/2006,12.6,12.635,12.412,12.5,12.5,3628000
8/24/2006,12.568,12.599,12.289,12.36,12.36,2887000
8/25/2006,12.346,12.435,12.292,12.42,12.42,1733000
8/28/2006,12.41,12.414,11.98,12.032,12.032,4205000
8/29/2006,12.059,12.29,11.853,12.275,12.275,3214000
8/30/2006,12.44,12.525,12.336,12.511,12.511,2982000
8/31/2006,12.656,12.917,12.62,12.908,12.908,4310000
9/1/2006,12.825,12.978,12.675,12.96,12.96,4296000
9/5/2006,13.177,13.22,12.936,12.975,12.975,6456000
9/6/2006,13.066,13.225,12.97,12.988,12.988,3501000
9/7/2006,12.8,12.838,12.39,12.57,12.57,5737000
9/8/2006,12.118,12.24,12.001,12.13,12.13,7386000
9/11/2006,11.654,11.7,11.055,11.075,11.075,12051000
9/12/2006,11.123,11.276,10.959,11.019,11.019,5852000
9/13/2006,11.19,11.28,11,11.185,11.185,3694000
9/14/2006,11.22,11.25,10.656,10.7,10.7,7086000
9/15/2006,10.691,10.943,10.461,10.799,10.799,6352000
9/18/2006,10.801,11.21,10.801,11.17,11.17,6093000
9/19/2006,11.113,11.188,10.731,10.788,10.788,5779000
9/20/2006,11.002,11.145,10.854,10.886,10.886,3960000
9/21/2006,10.887,11.2,10.844,11.185,11.185,3542000
9/22/2006,11.358,11.368,11.064,11.151,11.151,2708000
9/25/2006,11.08,11.275,11.03,11.188,11.188,2775000
9/26/2006,11.275,11.465,11.195,11.378,11.378,2550000
9/27/2006,11.584,11.65,11.45,11.62,11.62,2676000
9/28/2006,11.657,11.68,11.5,11.541,11.541,2480000
9/29/2006,11.43,11.494,11.2,11.451,11.451,2786000
10/2/2006,11.63,11.674,11.414,11.435,11.435,2158000
10/3/2006,11.143,11.143,10.792,10.81,10.81,4700000
10/4/2006,10.925,10.928,10.541,10.8,10.8,6287000
10/5/2006,11.09,11.1,10.903,11.078,11.078,3305000
10/6/2006,10.96,11.137,10.777,11.095,11.095,2112000
10/9/2006,11.4,11.412,11.21,11.278,11.278,1821000
10/10/2006,11.14,11.27,11.06,11.118,11.118,1644000
10/11/2006,11.275,11.42,11.155,11.173,11.173,2093000
10/12/2006,11.11,11.35,11.11,11.291,11.291,1273000
10/13/2006,11.51,11.639,11.453,11.639,11.639,2600000
10/16/2006,11.783,11.85,11.735,11.845,11.845,5366000
10/17/2006,11.898,11.898,11.563,11.688,11.688,4617000
10/18/2006,11.808,11.875,11.674,11.722,11.722,2932000
10/19/2006,11.911,12.073,11.901,12.07,12.07,2958000
10/20/2006,11.983,12.055,11.801,11.877,11.877,1949000
10/23/2006,11.63,11.732,11.563,11.639,11.639,2789000
10/24/2006,11.393,11.822,11.225,11.789,11.789,3779000
10/25/2006,11.748,11.924,11.671,11.895,11.895,3547000
10/26/2006,12.063,12.198,12.042,12.106,12.106,4842000
10/27/2006,12.116,12.134,11.941,12.011,12.011,1943000
10/30/2006,12.12,12.23,12.073,12.106,12.106,3466000
10/31/2006,12.024,12.27,11.996,12.268,12.268,3581000
11/1/2006,12.49,12.513,12.289,12.444,12.444,4034000
11/2/2006,12.499,12.6,12.49,12.515,12.515,3494000
11/3/2006,12.48,12.608,12.414,12.552,12.552,3447000
11/6/2006,12.518,12.735,12.502,12.61,12.61,3112000
11/7/2006,12.625,12.715,12.561,12.595,12.595,4536000
11/8/2006,12.604,12.692,12.385,12.417,12.417,3494000
11/9/2006,12.752,13.035,12.711,13.028,13.028,6290000
11/10/2006,13.003,13.074,12.833,12.967,12.967,3935000
11/13/2006,12.721,12.9,12.69,12.86,12.86,3321000
11/14/2006,12.957,12.968,12.701,12.776,12.776,5012000
11/15/2006,12.59,12.918,12.571,12.863,12.863,6295000
11/16/2006,13.088,13.125,12.735,12.755,12.755,5420000
11/17/2006,12.719,12.836,12.671,12.764,12.764,3239000
