Date,Open,High,Low,Close,Adj Close,Volume
2/6/2006,34.82,34.939999,33.700001,33.900002,31.701359,1940300
2/7/2006,33.900002,33.900002,31.73,32.990002,30.850378,3224600
2/8/2006,31.459999,32.400002,30.879999,32,29.924585,8960500
2/9/2006,29.799999,34.98,29.51,34.5,32.262444,8016600
2/10/2006,33.919998,35.57,33.599998,34.240002,32.019306,2229100
2/13/2006,36.009998,36.220001,34.43,35.040001,32.767422,4804900
2/14/2006,34.040001,36.25,34.02,35.779999,33.459427,3630300
2/15/2006,35.200001,36.619999,35.200001,36.529999,34.160782,3260600
2/16/2006,36.040001,36.290001,35.450001,35.700001,33.384617,2042100
2/17/2006,36.110001,37,35.07,36.93,34.534843,2265000
2/21/2006,35.880001,36.23,35.25,35.43,33.132126,2121900
2/22/2006,35.709999,36.700001,35.34,36.080002,33.739971,1659600
2/23/2006,35.5,36.98,35.400002,36.139999,33.796078,1637400
2/24/2006,35.52,35.990002,35.450001,35.799999,33.47813,1364600
2/27/2006,35.700001,35.849998,35.200001,35.5,33.197586,2381100
2/28/2006,35.689999,36.32,35.279999,35.470001,33.169533,1093400
3/1/2006,35.259998,36.400002,35.060001,36.099998,33.758671,1401600
3/2/2006,35.650002,36.34,35.610001,36.07,33.730618,1374000
3/3/2006,36,36.950001,36,36.619999,34.244946,1701600
3/6/2006,36.43,37.200001,36.43,36.919998,34.52549,753600
3/7/2006,36.759998,38,36.75,37.220001,34.806034,833100
3/8/2006,37.029999,37.52,37,37.41,34.983711,878800
3/9/2006,37.41,37.41,37.09,37.32,34.899548,776100
3/10/2006,37.150002,38.150002,36.919998,38.139999,35.666363,1517200
3/13/2006,37.950001,38.889999,37.799999,38.220001,35.741177,3228300
3/14/2006,38.110001,39.099998,38.110001,38.990002,36.461239,2658400
3/15/2006,39.080002,39.799999,38.869999,39.57,37.00362,1574200
3/16/2006,39.310001,39.57,39.169998,39.27,36.723076,568100
3/17/2006,39.029999,39.200001,38.77,39.200001,36.657619,1345500
3/20/2006,38.759998,40.240002,38.759998,40.150002,37.546005,1850900
